RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2019 - Convocatoria 833 - 2018;COL0002608;COGNICIÓN Y DESARROLLO REPRESENTACIONAL;REBECA PUCHE NAVARRO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002608;COGNICIÓN Y DESARROLLO REPRESENTACIONAL;REBECA PUCHE NAVARRO;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0002608;COGNICIÓN Y DESARROLLO REPRESENTACIONAL;REBECA PUCHE NAVARRO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002608;COGNICIÓN Y DESARROLLO REPRESENTACIONAL;REBECA PUCHE NAVARRO;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0002608;COGNICIÓN Y DESARROLLO REPRESENTACIONAL;REBECA PUCHE NAVARRO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;Sí;A
2019 - Convocatoria 833 - 2018;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;;A
2013 - Convocatoria 640 - 2013;COL0002617;COGNICIÓN Y EDUCACIÓN;OSCAR EUGENIO TAMAYO ALZATE;Si;;A
2019 - Convocatoria 833 - 2018;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002626;COGNICIÓN Y LENGUAJE EN LA INFANCIA;RITA FLÓREZ ROMERO;Si;;B
2019 - Convocatoria 833 - 2018;COL0002635;COMPORTAMIENTO HUMANO ORGANIZACIONAL COMPHOR-;SERGIO RENÉ OQUENDO PUERTA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002635;COMPORTAMIENTO HUMANO ORGANIZACIONAL COMPHOR-;ANGÉLICA MA-RÍA LÓPEZ VELÁSQUEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0002635;COMPORTAMIENTO HUMANO ORGANIZACIONAL COMPHOR-;ANGÉLICA MA-RÍA LÓPEZ VELÁSQUEZ;Si;No;Reconocido
2015 - Convocatoria 693 - 2014;COL0002635;COMPORTAMIENTO HUMANO ORGANIZACIONAL COMPHOR-;ANGÉLICA MA-RÍA LÓPEZ VELÁSQUEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002635;COMPORTAMIENTO HUMANO ORGANIZACIONAL COMPHOR-;ANGÉLICA MA-RÍA LÓPEZ VELÁSQUEZ;Si;;C
2017 - Convocatoria 781 - 2017;COL0002644;ESTUDIOS CULTURALES SOBRE LAS CIENCIAS Y SU ENSEÑANZA -ECCE;ANGEL ENRIQUE ROMERO CHACÓN;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002644;ESTUDIOS CULTURALES SOBRE LAS CIENCIAS Y SU ENSEÑANZA -ECCE;ANGEL ENRIQUE ROMERO CHACÓN;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002644;ESTUDIOS CULTURALES SOBRE LAS CIENCIAS Y SU ENSEÑANZA -ECCE;ANGEL ENRIQUE ROMERO CHACÓN;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002644;ESTUDIOS CULTURALES SOBRE LAS CIENCIAS Y SU ENSEÑANZA -ECCE;ANGEL ENRIQUE ROMERO CHACÓN;Si;;C
2019 - Convocatoria 833 - 2018;COL0002653;COMUNICACION;SOLON CALERO CRUZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002653;COMUNICACION;CARMEN CECILIA RIVERA GÓMEZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002653;COMUNICACION;CARMEN CECILIA RIVERA GÓMEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002653;COMUNICACION;CARMEN CECILIA RIVERA GÓMEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002653;COMUNICACION;CARMEN CECILIA RIVERA GÓMEZ;Si;;C
2019 - Convocatoria 833 - 2018;COL0002662;COMUNICACIÓN UB;ANGEL EMIRO PAEZ MORENO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002662;COMUNICACIÓN UB;GLADYS LARA ROMERO;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0002662;COMUNICACIÓN UB;DIANA ELIZABETH VARGAS HERNÁNDEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002662;COMUNICACIÓN UB;DIANA ELIZABETH VARGAS HERNÁNDEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002662;COMUNICACIÓN UB;DIANA ELIZABETH VARGAS HERNÁNDEZ;Si;;C
2019 - Convocatoria 833 - 2018;COL0002671;COMUNICACIÓN, PERIODISMO Y SOCIEDAD;PAULA ANDREA RESTREPO HOYOS;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002671;COMUNICACIÓN, PERIODISMO Y SOCIEDAD;ANA VICTORIA OCHOABOHÓRQUEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002671;COMUNICACIÓN, PERIODISMO Y SOCIEDAD;ELVIA ELENA ACEVEDO MORENO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002671;COMUNICACIÓN, PERIODISMO Y SOCIEDAD;VIVIANA MARÍA GARCÉS HERNÁNDEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002671;COMUNICACIÓN, PERIODISMO Y SOCIEDAD;VIVIANA MARÍA GARCÉS HERNÁNDEZ;Si;;A
2019 - Convocatoria 833 - 2018;COL0002689;COMUNICACIÓN, MEDIOS Y CULTURA;DANIEL GUILLERMO VALENCIA NIETO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0002689;COMUNICACIÓN, MEDIOS Y CULTURA;DANIEL GUILLERMO VALENCIA NIETO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0002689;COMUNICACIÓN, MEDIOS Y CULTURA;DANIEL GUILLERMO VALENCIA NIETO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002689;COMUNICACIÓN, MEDIOS Y CULTURA;DANIEL GUILLERMO VALENCIA NIETO;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0002689;COMUNICACIÓN, MEDIOS Y CULTURA;DANIEL GUILLERMO VALENCIA NIETO;Si;;A
2019 - Convocatoria 833 - 2018;COL0002699;COMUNICACIÓN-EDUCACIÓN;SONIA MARSELA ROJAS CAMPOS;Si;No;Reconocido
2017 - Convocatoria 781 - 2017;COL0002699;COMUNICACIÓN-EDUCACIÓN;SONIA MARSELA ROJAS CAMPOS;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002699;COMUNICACIÓN-EDUCACIÓN;SONIA MARSELA ROJAS CAMPOS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002699;COMUNICACIÓN-EDUCACIÓN;SONIA MARSELA ROJAS CAMPOS;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002699;COMUNICACIÓN-EDUCACIÓN;URIEL IGNACIO ESPITIA VÁSQUEZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0002706;ÉTICA Y POLÍTICA;LEÓN SIGIFREDO CIRO RÍOS;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002706;ÉTICA Y POLÍTICA;LEÓN SIGIFREDO CIRO RÍOS;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002706;ÉTICA Y POLÍTICA;LEÓN SIGIFREDO CIRO RÍOS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002706;ÉTICA Y POLÍTICA;LEÓN SIGIFREDO CIRO RÍOS;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002706;ÉTICA Y POLÍTICA;LEÓN SIGIFREDO CIRO RÍOS;Si;;C
2019 - Convocatoria 833 - 2018;COL0002733;CONCEPTUALIZACION Y PRÁCTICA DE ENFERMERIA;FABIOLA CASTELLANOS SORIANO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002733;CONCEPTUALIZACION Y PRÁCTICA DE ENFERMERIA;FABIOLA CASTELLANOS SORIANO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002733;CONCEPTUALIZACION Y PRÁCTICA DE ENFERMERIA;FABIOLA CASTELLANOS SORIANO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002733;CONCEPTUALIZACION Y PRÁCTICA DE ENFERMERIA;FABIOLA CASTELLANOS SORIANO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002733;CONCEPTUALIZACION Y PRÁCTICA DE ENFERMERIA;FABIOLA CASTELLANOS SORIANO;Si;;C
2019 - Convocatoria 833 - 2018;COL0002742;CONFLICTO SOCIAL Y VIOLENCIA;MYRIAM JIMENO SANTOYO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0002742;CONFLICTO SOCIAL Y VIOLENCIA;MYRIAM JIMENO SANTOYO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0002742;CONFLICTO SOCIAL Y VIOLENCIA;MYRIAM JIMENO SANTOYO;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0002742;CONFLICTO SOCIAL Y VIOLENCIA;MYRIAM JIMENO SANTOYO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0002742;CONFLICTO SOCIAL Y VIOLENCIA;MYRIAM JIMENO SANTOYO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0002751;CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN SEGURIDAD;ANGELIKA RETTBERG BEIL;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0002751;CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN SEGURIDAD;ANGELIKA RETTBERG BEIL;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0002751;CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN SEGURIDAD;ANGELIKA RETTBERG BEIL;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0002751;CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN SEGURIDAD;ANGELIKA RETTBERG BEIL;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0002751;CONFLICTOS ARMADOS, CONSTRUCCIÓN DE PAZ Y ESTUDIOS GLOBALES EN SEGURIDAD;ANGELIKA RETTBERG BEIL;Si;;A1
2019 - Convocatoria 833 - 2018;COL0002769;CONSERVACIÓN DE FRUTAS Y HORTALIZAS;ANGELA MARIA FARIAS CAMPOMANES;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002769;CONSERVACIÓN DE FRUTAS Y HORTALIZAS;JESÚS ANTONIO GALVIS VANEGAS;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0002769;CONSERVACIÓN DE FRUTAS Y HORTALIZAS;JESÚS ANTONIO GALVIS VANEGAS;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002769;CONSERVACIÓN DE FRUTAS Y HORTALIZAS;JESÚS ANTONIO GALVIS VANEGAS;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002769;CONSERVACIÓN DE FRUTAS Y HORTALIZAS;JESÚS ANTONIO GALVIS VANEGAS;Si;;C
2019 - Convocatoria 833 - 2018;COL0002779;CONSERVACIÓN, MEJORAMIENTO Y UTILIZACIÓN DEL GANADO CRIOLLO HARTÓN DEL VALLE Y OTROS RECURSOS GENÉTICOS ANIMALES EN EL SUROCCIDENTE COLOMBIANO;ROMULO CAMPOS GAONA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002779;CONSERVACIÓN, MEJORAMIENTO Y UTILIZACIÓN DEL GANADO CRIOLLO HARTÓN DEL VALLE Y OTROS RECURSOS GENÉTICOS ANIMALES EN EL SUROCCIDENTE COLOMBIANO;ROMULO CAMPOS GAONA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002779;CONSERVACIÓN, MEJORAMIENTO Y UTILIZACIÓN DEL GANADO CRIOLLO HARTÓN DEL VALLE Y OTROS RECURSOS GENÉTICOS ANIMALES EN EL SUROCCIDENTE COLOMBIANO;ROMULO CAMPOS GAONA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002779;CONSERVACIÓN, MEJORAMIENTO Y UTILIZACIÓN DEL GANADO CRIOLLO HARTÓN DEL VALLE Y OTROS RECURSOS GENÉTICOS ANIMALES EN EL SUROCCIDENTE COLOMBIANO;ROMULO CAMPOS GAONA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0002779;CONSERVACIÓN, MEJORAMIENTO Y UTILIZACIÓN DEL GANADO CRIOLLO HARTÓN DEL VALLE Y OTROS RECURSOS GENÉTICOS ANIMALES EN EL SUROCCIDENTE COLOMBIANO;CARLOS VICENTE DURÁN CASTRO;Si;;A
2019 - Convocatoria 833 - 2018;COL0002798;PEDAGOGÍAS DEL HÁBITAT Y DE LO PÚBLICO (PHDP);CRISTINA ALBORNOZ RUGELES;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002798;PEDAGOGÍAS DEL HÁBITAT Y DE LO PÚBLICO (PHDP);ISABEL CRISTINA ARTEAGA ARREDONDO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002798;PEDAGOGÍAS DEL HÁBITAT Y DE LO PÚBLICO (PHDP);CLAUDIO JOSE ROSSI GONZALEZ;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002798;PEDAGOGÍAS DEL HÁBITAT Y DE LO PÚBLICO (PHDP);CLAUDIO JOSE ROSSI GONZALEZ;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002798;PEDAGOGÍAS DEL HÁBITAT Y DE LO PÚBLICO (PHDP);ISABEL CRISTINA ARTEAGA ARREDONDO;Si;;C
2013 - Convocatoria 640 - 2013;COL0002804;CONTABILIDAD, FINANZAS Y GESTIÓN PÚBLICA;OMAR DE JESÚS MONTILLA GALVIS;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0002831;GRUPO DE ESTUDIOS SOCIOLINGÜÍSTICOS;JORGE MAURICIO MOLINA MEJÍA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002831;GRUPO DE ESTUDIOS SOCIOLINGÜÍSTICOS;JORGE MAURICIO MOLINA MEJÍA;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0002831;GRUPO DE ESTUDIOS SOCIOLINGÜÍSTICOS;MARÍA CLAUDIA GONZÁLEZ RÁTIVA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0002831;GRUPO DE ESTUDIOS SOCIOLINGÜÍSTICOS;RÓBINSON MAURICIO GRAJALES ALZATE;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0002831;GRUPO DE ESTUDIOS SOCIOLINGÜÍSTICOS;RÓBINSON MAURICIO GRAJALES ALZATE;Si;;D
2019 - Convocatoria 833 - 2018;COL0002849;CONTROL BIOLÓGICO DE PLAGAS AGRÍCOLAS;GLORIA PATRICIA BARRERA CUBILLOS;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0002849;CONTROL BIOLÓGICO DE PLAGAS AGRÍCOLAS;ALBA MARINA COTES PRADO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002849;CONTROL BIOLÓGICO DE PLAGAS AGRÍCOLAS;ALBA MARINA COTES PRADO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002849;CONTROL BIOLÓGICO DE PLAGAS AGRÍCOLAS;ALBA MARINA COTES PRADO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0002849;CONTROL BIOLÓGICO DE PLAGAS AGRÍCOLAS;ALBA MARINA COTES PRADO;Si;;B
2019 - Convocatoria 833 - 2018;COL0002859;AUTOMÁTICA;ÁLVARO ÁNGEL OROZCO GUTIÉRREZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002859;AUTOMÁTICA;ÁLVARO ÁNGEL OROZCO GUTIÉRREZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002859;AUTOMÁTICA;ÁLVARO ÁNGEL OROZCO GUTIÉRREZ;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0002859;AUTOMÁTICA;ÁLVARO ÁNGEL OROZCO GUTIÉRREZ;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0002859;AUTOMÁTICA;ÁLVARO ÁNGEL OROZCO GUTIÉRREZ;Si;;A1
2019 - Convocatoria 833 - 2018;COL0002869;GENETICA Y BIOQUIMICA;ALBERTO MORENO ROSSI;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0002869;GENETICA Y BIOQUIMICA;ALBERTO MORENO ROSSI;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0002878;CONVERSIÓN DE ENERGÍA;GERARDO GORDILLO ARIZA;Si;No;Reconocido
2016 - Convocatoria 737 - 2015;COL0002878;CONVERSIÓN DE ENERGÍA;GERARDO GORDILLO ARIZA;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002878;CONVERSIÓN DE ENERGÍA;GERARDO GORDILLO ARIZA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002878;CONVERSIÓN DE ENERGÍA;GERARDO GORDILLO ARIZA;Si;;B
2019 - Convocatoria 833 - 2018;COL0002896;CULTURA Y DESARROLLO HUMANO;OMAR CABRALES SALAZAR;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0002896;CULTURA Y DESARROLLO HUMANO;OMAR CABRALES SALAZAR;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0002896;CULTURA Y DESARROLLO HUMANO;OMAR CABRALES SALAZAR;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0002896;CULTURA Y DESARROLLO HUMANO;OMAR CABRALES SALAZAR;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0002896;CULTURA Y DESARROLLO HUMANO;OMAR CABRALES SALAZAR;Si;;D
2019 - Convocatoria 833 - 2018;COL0002911;CORPORACIÓN PARA LA INVESTIGACIÓN DE LA CORROSIÓN;JORGE HERNANDO PANQUEVA ALVAREZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002911;CORPORACIÓN PARA LA INVESTIGACIÓN DE LA CORROSIÓN;JORGE HERNANDO PANQUEVA ALVAREZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002911;CORPORACIÓN PARA LA INVESTIGACIÓN DE LA CORROSIÓN;JORGE HERNANDO PANQUEVA ALVAREZ;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002911;CORPORACIÓN PARA LA INVESTIGACIÓN DE LA CORROSIÓN;JORGE HERNANDO PANQUEVA ALVAREZ;Si;;B
2017 - Convocatoria 781 - 2017;COL0002939;CRECER;MYRIAM OVIEDO CORDOBA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002939;CRECER;MYRIAM OVIEDO CORDOBA;Si;SÍ;D
2015 - Convocatoria 693 - 2014;COL0002939;CRECER;MYRIAM OVIEDO CORDOBA;Si;SÍ;D
2013 - Convocatoria 640 - 2013;COL0002939;CRECER;MYRIAM OVIEDO CORDOBA;Si;;D
2019 - Convocatoria 833 - 2018;COL0002949;CUENCAS HIDROGRÁFICAS;URIEL PÉREZ GÓMEZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002949;CUENCAS HIDROGRÁFICAS;URIEL PÉREZ GÓMEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002949;CUENCAS HIDROGRÁFICAS;URIEL PÉREZ GÓMEZ;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002949;CUENCAS HIDROGRÁFICAS;URIEL PÉREZ GÓMEZ;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2019 - Convocatoria 833 - 2018;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2019 - Convocatoria 833 - 2018;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;;C
2013 - Convocatoria 640 - 2013;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;;C
2013 - Convocatoria 640 - 2013;COL0002967;CUESTIONARTE;GLORIA PATRICIA ZAPATA RESTREPO;Si;;C
2019 - Convocatoria 833 - 2018;COL0002976;CUIDADO DE ENFERMERÌA;MARTHA LUCIA VASQUEZ TRUISSI;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002976;CUIDADO DE ENFERMERÌA;MARTHA LUCIA VASQUEZ TRUISSI;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002976;CUIDADO DE ENFERMERÌA;MARTHA LUCIA VASQUEZ TRUISSI;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002976;CUIDADO DE ENFERMERÌA;MARTHA LUCIA VASQUEZ TRUISSI;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0002976;CUIDADO DE ENFERMERÌA;MARTHA LUCIA VASQUEZ TRUISSI;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0002985;CUIDADO Y PRÁCTICA EN ENFERMERÍA, SALUD FAMILIAR ENFERMERÍA FAMILIAR Y MEDICION EN SALUD;VIRGINIA INES SOTO LESMES;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0002985;CUIDADO Y PRÁCTICA EN ENFERMERÍA, SALUD FAMILIAR ENFERMERÍA FAMILIAR Y MEDICION EN SALUD;VIRGINIA INES SOTO LESMES;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0002985;CUIDADO Y PRÁCTICA EN ENFERMERÍA, SALUD FAMILIAR ENFERMERÍA FAMILIAR Y MEDICION EN SALUD;VIRGINIA INES SOTO LESMES;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0002985;CUIDADO Y PRÁCTICA EN ENFERMERÍA, SALUD FAMILIAR ENFERMERÍA FAMILIAR Y MEDICION EN SALUD;VIRGINIA INES SOTO LESMES;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0002985;CUIDADO Y PRÁCTICA EN ENFERMERÍA, SALUD FAMILIAR ENFERMERÍA FAMILIAR Y MEDICION EN SALUD;VIRGINIA INES SOTO LESMES;Si;;A
2019 - Convocatoria 833 - 2018;COL0002994;GRUPO DE ESTUDIOS EN PSICOLOGÍA APLICADA Y SOCIEDAD - PAYS;ÁLVARO RAMÍREZ BOTERO;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0002994;GRUPO DE ESTUDIOS EN PSICOLOGÍA APLICADA Y SOCIEDAD - PAYS;ÁLVARO RAMÍREZ BOTERO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0002994;GRUPO DE ESTUDIOS EN PSICOLOGÍA APLICADA Y SOCIEDAD - PAYS;ÁLVARO RAMÍREZ BOTERO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0002994;GRUPO DE ESTUDIOS EN PSICOLOGÍA APLICADA Y SOCIEDAD - PAYS;ÁLVARO RAMÍREZ BOTERO;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0002994;GRUPO DE ESTUDIOS EN PSICOLOGÍA APLICADA Y SOCIEDAD - PAYS;OLENA KLIMENKO;Si;;C
2013 - Convocatoria 640 - 2013;COL0003006;CULTURA Y DROGA;JORGE RONDEROS VALDERRAMA;Si;;D
2019 - Convocatoria 833 - 2018;COL0003015;CULTURA, POLÍTICA Y DESARROLLO SOCIAL;OMAR ALONSO URAN ARENAS;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0003015;CULTURA, POLÍTICA Y DESARROLLO SOCIAL;OMAR ALONSO URAN ARENAS;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0003015;CULTURA, POLÍTICA Y DESARROLLO SOCIAL;JORGE EDUARDO SUÁREZ GOMEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0003015;CULTURA, POLÍTICA Y DESARROLLO SOCIAL;JAIME RAFAEL NIETO LÓPEZ;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0003015;CULTURA, POLÍTICA Y DESARROLLO SOCIAL;ESPERANZA GÓMEZ HERNÁNDEZ;Si;;C
2019 - Convocatoria 833 - 2018;COL0003024;CULTURA, VIOLENCIA Y TERRITORIO;LUÍS ANTONIO RAMÍREZ ZULUAGA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0003024;CULTURA, VIOLENCIA Y TERRITORIO;NATALIA QUICENO TORO;Si;Sí;B
